[2025-12-30 09:09:14] Process monitor started
[2025-12-30 09:09:14] Network monitor started
[2025-12-30 09:09:14] File monitor started
[2025-12-30 09:09:17] Suspicious process: zswap-shrink (PID 83)
[2025-12-30 09:09:17] File modified: /tmp/#115
[2025-12-30 09:09:17] File modified: /tmp/#117
[2025-12-30 09:09:17] File modified: /tmp/#116
[2025-12-30 09:09:17] File modified: /tmp/#115
[2025-12-30 09:09:17] File modified: /tmp/#117
[2025-12-30 09:09:17] File modified: /tmp/#116
[2025-12-30 09:09:17] File modified: /tmp/#115
[2025-12-30 09:09:17] File modified: /tmp/#117
[2025-12-30 09:09:17] File modified: /tmp/#116
[2025-12-30 09:09:17] File modified: /tmp/#115
[2025-12-30 09:09:17] File modified: /tmp/#117
[2025-12-30 09:09:17] File modified: /tmp/#115
[2025-12-30 09:09:17] File modified: /tmp/#117
[2025-12-30 09:09:17] File modified: /tmp/#116
[2025-12-30 09:09:17] File modified: /tmp/#115
[2025-12-30 09:09:17] File modified: /tmp/#117
[2025-12-30 09:09:17] File modified: /tmp/#116
[2025-12-30 09:09:18] File modified: /tmp/#115
[2025-12-30 09:09:18] File modified: /tmp/#117
[2025-12-30 09:09:18] File modified: /tmp/#116
[2025-12-30 09:09:18] File modified: /tmp/#115
[2025-12-30 09:09:18] File modified: /tmp/#117
[2025-12-30 09:09:18] File modified: /tmp/#116
[2025-12-30 09:09:18] File modified: /tmp/#115
[2025-12-30 09:09:18] File modified: /tmp/#117
[2025-12-30 09:09:18] File modified: /tmp/#116
[2025-12-30 09:09:18] File modified: /tmp/#115
[2025-12-30 09:09:18] File modified: /tmp/#117
[2025-12-30 09:09:18] File modified: /tmp/#116
[2025-12-30 09:09:18] File modified: /tmp/#115
[2025-12-30 09:09:18] File modified: /tmp/#117
[2025-12-30 09:09:18] File modified: /tmp/#116
[2025-12-30 09:09:18] File modified: /tmp/#115
[2025-12-30 09:09:18] File modified: /tmp/#117
[2025-12-30 09:09:18] File modified: /tmp/#116
[2025-12-30 09:09:18] File modified: /tmp/#115
[2025-12-30 09:09:18] File modified: /tmp/#117
[2025-12-30 09:09:18] File modified: /tmp/#116
[2025-12-30 09:09:18] File modified: /tmp/#115
[2025-12-30 09:09:18] File modified: /tmp/#117
[2025-12-30 09:09:18] File modified: /tmp/#116
[2025-12-30 09:09:18] File modified: /tmp/#115
[2025-12-30 09:09:18] File modified: /tmp/#117
[2025-12-30 09:09:18] File modified: /tmp/#116
[2025-12-30 09:09:18] Suspicious process: zsh (PID 1513)
[2025-12-30 09:09:18] File modified: /tmp/#115
